#x    u
0    0.4
0.0031348    0.4
0.00626959    0.4
0.00940439    0.4
0.0125392    0.4
0.015674    0.4
0.0188088    0.4
0.0219436    0.4
0.0250784    0.4
0.0282132    0.4
0.031348    0.4
0.0344828    0.4
0.0376176    0.4
0.0407524    0.4
0.0438871    0.4
0.0470219    0.4
0.0501567    0.4
0.0532915    0.4
0.0564263    0.4
0.0595611    0.4
0.0626959    0.4
0.0658307    0.4
0.0689655    0.4
0.0721003    0.4
0.0752351    0.4
0.0783699    0.4
0.0815047    0.4
0.0846395    0.4
0.0877743    0.4
0.0909091    0.4
0.0940439    0.4
0.0971787    0.4
0.100313    0.4
0.103448    0.4
0.106583    0.4
0.109718    0.4
0.112853    0.4
0.115987    0.4
0.119122    0.4
0.122257    0.4
0.125392    0.4
0.128527    0.4
0.131661    0.4
0.134796    0.4
0.137931    0.4
0.141066    0.4
0.144201    0.4
0.147335    0.4
0.15047    0.4
0.153605    0.4
0.15674    0.4
0.159875    0.4
0.163009    0.4
0.166144    0.4
0.169279    0.4
0.172414    0.4
0.175549    0.4
0.178683    0.4
0.181818    0.4
0.184953    0.4
0.188088    0.4
0.191223    0.4
0.194357    0.4
0.197492    0.4
0.200627    0.4
0.203762    0.4
0.206897    0.4
0.210031    0.4
0.213166    0.4
0.216301    0.4
0.219436    0.4
0.222571    0.4
0.225705    0.4
0.22884    0.4
0.231975    0.4
0.23511    0.4
0.238245    0.4
0.241379    0.4
0.244514    0.4
0.247649    0.4
0.250784    0.4
0.253918    0.4
0.257053    0.4
0.260188    0.4
0.263323    0.4
0.266458    0.4
0.269592    0.4
0.272727    0.4
0.275862    0.4
0.278997    0.4
0.282132    0.4
0.285266    0.4
0.288401    0.4
0.291536    0.4
0.294671    0.4
0.297806    0.4
0.30094    0.4
0.304075    0.4
0.30721    0.4
0.310345    0.4
0.31348    0.4
0.316614    0.4
0.319749    0.4
0.322884    0.4
0.326019    0.4
0.329154    0.4
0.332288    0.4
0.335423    0.4
0.338558    0.4
0.341693    0.4
0.344828    0.4
0.347962    0.4
0.351097    0.4
0.354232    0.4
0.357367    0.4
0.360502    0.4
0.363636    0.4
0.366771    0.4
0.369906    0.4
0.373041    0.4
0.376176    0.4
0.37931    0.4
0.382445    0.4
0.38558    0.4
0.388715    0.4
0.39185    0.4
0.394984    0.4
0.398119    0.4
0.401254    0.4
0.404389    0.4
0.407524    0.4
0.410658    0.4
0.413793    0.4
0.416928    0.4
0.420063    0.4
0.423197    0.4
0.426332    0.4
0.429467    0.4
0.432602    0.4
0.435737    0.4
0.438871    0.4
